Tract,Income
5350316.03,20301.0
5350316.04,18127.0
5350316.05,20427.0
5350316.06,20003.0
5350317.02,20391.0
5350317.03,28501.0
5350317.04,23564.0
5350317.05,26005.0
5350318.00,22045.0
5350319.00,24219.0
5350320.01,21445.0
5350320.02,23157.0
5350321.01,25849.0
5350321.02,25056.0
5350322.01,21138.0
5350322.02,21205.0
5350323.01,29589.0
5350323.02,33493.0
5350324.01,24192.0
5350324.02,23952.0
5350324.03,29376.0
5350324.05,22960.0
5350324.06,28432.0
5350330.00,41651.0
5350331.01,41899.0
5350331.03,19637.0
5350331.04,34336.0
5350332.00,21349.0
5350333.00,34315.0
5350334.00,42130.0
5350335.00,25664.0
5350336.00,30776.0
5350337.01,23531.0
5350337.02,28992.0
5350338.00,36992.0
5350339.00,46293.0
5350340.00,25272.0
5350341.02,23216.0
5350341.03,15174.0
5350341.04,19914.0
5350342.00,26048.0
5350343.00,23328.0
5350344.01,23685.0
5350344.02,21028.0
5350345.00,25360.0
5350346.01,23315.0
5350346.02,25552.0
5350347.00,36565.0
5350348.00,34824.0
5350349.00,24901.0
5350350.00,27225.0
5350351.01,23988.0
5350351.02,26336.0
5350352.00,25813.0
5350353.02,24992.0
5350353.03,24904.0
5350353.04,22578.0
5350354.00,27430.0
5350355.02,26160.0
5350355.04,24858.0
5350355.05,23014.0
5350355.06,21824.0
5350356.00,30347.0
5350357.01,18707.0
5350357.02,19904.0
5350358.01,29147.0
5350358.02,23002.0
5350358.03,20824.0
5350359.00,22117.0
5350360.00,32469.0
5350361.01,42624.0
5350361.02,42633.0
5350362.01,31220.0
5350362.02,30874.0
5350362.03,29335.0
5350362.04,30892.0
5350363.02,30656.0
5350363.04,27312.0
5350363.05,17882.0
5350363.06,25398.0
5350363.07,17684.0
5350364.01,26256.0
5350364.02,29184.0
5350365.00,24352.0
5350366.00,25062.0
5350367.01,20877.0
5350367.02,30157.0
5350368.01,23952.0
5350368.02,26776.0
5350369.00,24355.0
5350370.01,23851.0
5350370.02,24932.0
5350370.03,26042.0
5350371.00,27234.0
5350372.00,29367.0
5350373.00,25869.0
5350374.01,26656.0
5350374.02,25015.0
5350374.03,20587.0
5350375.01,19949.0
5350375.02,38254.0
5350375.03,21901.0
5350375.04,23132.0
5350375.05,27142.0
5350376.01,19514.0
5350376.02,19752.0
5350376.04,22528.0
5350376.05,19289.0
5350376.06,19760.0
5350376.08,22944.0
5350376.09,20212.0
5350376.11,19578.0
5350376.12,25051.0
5350376.13,20531.0
5350376.14,21944.0
5350376.15,22243.0
5350376.16,24459.0
5350377.01,23347.0
5350377.02,22523.0
5350377.03,23194.0
5350377.04,19456.0
5350377.06,17770.0
5350377.07,20384.0
5350378.02,18761.0
5350378.03,25632.0
5350378.04,21552.0
5350378.05,26112.0
5350378.06,22063.0
5350378.07,21284.0
5350378.08,21547.0
5350378.11,22944.0
5350378.12,20518.0
5350378.14,20986.0
5350378.16,23053.0
5350378.17,24504.0
5350378.18,17965.0
5350378.19,21416.0
5350378.20,17877.0
5350378.21,20426.0
5350378.22,19568.0
5350378.23,21397.0
5350378.24,19840.0
5350378.25,24640.0
5350378.26,26130.0
5350378.27,27363.0
5350378.28,25614.0
5350400.02,41365.0
5350400.03,35883.0
5350400.04,35610.0
5350400.06,42496.0
5350400.07,44729.0
5350400.08,27040.0
5350400.11,22662.0
5350400.12,29056.0
5350400.13,20489.0
5350400.14,21043.0
5350400.15,43961.0
5350400.16,32704.0
5350400.17,19642.0
5350400.18,18240.0
5350400.19,40594.0
5350400.20,32960.0
5350400.21,30528.0
5350400.22,31074.0
5350400.23,24672.0
5350401.04,23776.0
5350401.05,23856.0
5350401.06,31472.0
5350401.07,34469.0
5350401.08,40021.0
5350401.09,26064.0
5350401.10,30546.0
5350401.11,22610.0
5350401.13,19166.0
5350401.14,29216.0
5350401.15,32560.0
5350401.17,24448.0
5350401.18,26318.0
5350401.19,19061.0
5350401.20,19808.0
5350401.21,19797.0
5350401.22,21073.0
5350401.23,27750.0
5350402.01,38571.0
5350402.02,23000.0
5350402.03,35104.0
5350402.04,39002.0
5350402.05,46635.0
5350402.06,25984.0
5350402.07,38997.0
5350402.08,31607.0
5350402.09,35701.0
5350402.10,36279.0
5350402.12,23680.0
5350402.13,44437.0
5350403.01,27264.0
5350403.04,30421.0
5350403.05,42133.0
5350403.07,26479.0
5350403.09,23904.0
5350403.10,26400.0
5350403.11,25937.0
5350403.12,32741.0
5350403.13,36000.0
5350403.14,26240.0
5350403.15,34391.0
5350403.16,34571.0
5350410.02,30421.0
5350410.03,38946.0
5350410.04,36457.0
5350410.05,45088.0
5350410.07,33518.0
5350410.09,27853.0
5350410.10,34675.0
5350410.11,30232.0
5350410.12,28864.0
5350410.13,40764.0
5350410.14,33600.0
5350410.15,30165.0
5350411.01,31216.0
5350411.04,33568.0
5350411.07,35968.0
5350411.08,34926.0
5350411.09,35170.0
5350411.12,32672.0
5350411.15,34851.0
5350411.16,41600.0
5350411.17,40408.0
5350411.18,38624.0
5350411.19,40555.0
