Tract,Income
5350422.02,80.1
5350422.03,101.5
5350422.04,89.0
5350422.05,79.8
5350422.06,78.1
5350423.01,129.2
5350423.02,113.1
5350424.04,100.9
5350424.05,82.0
5350424.07,100.9
5350424.08,103.3
5350424.09,106.6
5350424.10,138.5
5350424.11,113.6
5350424.13,115.1
5350424.14,122.3
5350424.15,104.3
5350424.16,109.1
5350430.03,134.2
5350430.05,138.7
5350430.06,138.5
5350430.07,133.6
5350430.08,129.4
5350431.01,144.4
5350431.02,131.1
5350440.00,143.3
5350441.02,117.1
5350441.03,134.1
5350441.04,137.3
5350442.02,108.1
5350442.03,154.7
5350442.04,135.6
5350442.05,139.8
5350442.06,135.8
5350450.02,115.3
5350450.03,122.7
5350450.05,128.5
5350450.06,128.9
5350451.01,104.2
5350451.02,114.1
5350451.03,114.2
5350451.05,129.3
5350451.06,124.8
5350451.07,137.0
5350452.01,119.8
5350452.02,101.5
5350452.03,118.2
5350452.05,120.2
5350452.06,118.4
5350452.07,134.2
5350455.00,138.9
5350456.01,142.7
5350456.02,130.5
5350456.03,128.2
5350460.01,152.5
5350460.02,119.9
5350461.01,152.7
5350461.02,141.0
5350470.00,124.9
5350471.00,111.4
5350472.00,124.6
5350473.01,120.3
5350473.02,115.0
5350473.03,108.3
5350474.00,122.4
5350475.00,107.7
5350476.01,87.6
5350476.02,110.4
5350480.01,104.4
5350480.02,123.5
5350481.01,126.2
5350481.02,111.5
5350482.00,133.3
5350483.01,129.2
5350483.02,121.9
5350484.02,130.5
5350484.03,135.6
5350484.04,128.6
5350485.01,133.5
5350485.02,115.5
5350500.01,106.0
5350500.02,105.3
5350501.01,140.8
5350501.02,139.5
5350502.01,114.3
5350502.02,115.1
5350503.00,106.0
5350504.00,142.0
5350505.01,180.0
5350505.02,186.5
5350506.00,216.5
5350507.00,153.1
5350508.00,124.4
5350509.01,130.3
5350509.02,149.5
5350510.00,140.0
5350511.01,84.7
5350511.02,106.6
5350512.00,88.4
5350513.01,127.6
5350513.02,82.4
5350513.03,95.3
5350513.04,118.6
5350514.01,168.9
5350514.02,83.1
5350515.01,134.0
5350515.02,118.4
5350516.01,128.6
5350516.02,123.5
5350516.03,122.5
5350516.04,105.5
5350516.05,114.1
5350516.06,115.3
5350516.08,94.2
5350516.09,115.2
5350516.11,143.2
5350516.16,126.4
5350516.17,120.2
5350516.18,131.0
5350516.20,125.9
5350516.21,131.5
5350516.22,130.1
5350516.23,123.5
5350516.24,134.1
5350516.25,103.8
5350516.26,97.0
5350516.28,113.9
5350516.29,92.1
5350516.30,131.7
5350516.31,123.6
5350516.32,129.0
5350516.37,103.0
5350516.38,99.1
5350516.39,106.8
5350516.40,127.3
5350516.41,99.6
5350516.42,100.3
5350516.43,95.4
5350516.44,104.6
5350516.46,104.5
5350516.47,106.5
5350516.48,90.8
5350516.49,102.2
5350517.00,137.8
5350518.00,77.7
5350519.00,95.7
5350520.01,81.5
5350520.02,87.1
5350520.05,92.7
5350520.07,76.1
5350520.08,99.6
5350520.09,103.5
5350520.10,89.0
5350521.01,91.1
5350521.02,106.7
5350521.03,87.7
5350521.04,102.3
5350521.05,94.9
5350521.06,80.4
5350522.00,102.6
5350523.00,100.7
5350524.01,96.8
5350524.02,101.8
5350525.01,82.1
5350525.02,84.5
5350526.01,82.8
5350526.02,93.8
5350527.01,93.6
5350527.02,107.3
5350527.03,100.2
5350527.04,133.1
5350527.05,117.6
5350527.06,103.3
5350527.07,101.8
5350527.08,100.1
5350527.09,107.8
5350528.01,98.6
5350528.02,90.7
5350528.10,93.5
5350528.11,97.6
5350528.12,93.9
5350528.13,121.5
5350528.15,88.3
5350528.16,87.4
5350528.18,103.4
5350528.19,95.8
5350528.20,90.8
5350528.21,77.0
5350528.22,72.4
5350528.24,94.9
5350528.25,101.3
5350528.26,86.6
5350528.31,77.6
5350528.32,99.0
5350528.33,103.9
5350528.34,117.0
5350528.35,112.3
5350528.36,68.4
5350528.37,110.6
5350528.39,139.2
5350528.40,133.9
5350528.41,91.5
5350528.42,85.3
5350528.43,102.5
5350528.44,119.2
5350528.45,91.1
5350528.46,91.7
5350528.47,98.4
5350528.48,92.4
5350528.49,124.9
5350529.01,73.5
5350529.02,72.5
5350530.01,77.9
5350530.02,70.0
5350531.01,78.8
5350531.02,81.6
5350532.01,76.4
5350532.02,74.6
5350540.01,119.1
5350540.02,140.0
5350550.01,133.0
5350550.02,121.0
5350560.00,105.3
5350561.00,106.7
5350562.02,114.0
5350562.03,109.6
5350562.04,110.1
5350562.05,106.9
5350562.06,113.5
5350562.07,106.5
5350562.08,114.7
5350562.09,112.7
5350562.11,121.3
5350562.12,90.3
5350562.13,104.4
5350562.14,110.4
5350562.15,100.9
5350563.01,73.2
5350563.02,106.8
5350564.01,106.5
5350564.02,92.0
5350570.01,95.1
5350570.02,152.5
5350571.01,90.2
5350571.02,123.1
5350572.01,111.3
5350572.04,96.9
5350572.05,87.0
5350572.07,86.4
5350572.08,75.0
5350572.09,101.8
5350572.10,88.9
5350573.03,101.4
5350573.05,106.8
5350573.06,118.6
5350573.07,105.4
5350573.09,96.4
5350573.10,100.0
5350573.11,95.9
5350574.00,122.1
5350575.01,92.5
5350575.02,93.2
5350575.03,94.8
5350575.04,106.5
5350575.05,106.6
5350575.07,98.4
5350575.08,103.1
5350576.04,138.1
5350576.05,95.7
5350576.06,115.7
5350576.07,106.6
5350576.09,144.3
5350576.10,95.5
5350576.16,85.6
5350576.17,84.4
5350576.20,78.3
5350576.22,81.4
5350576.24,102.5
5350576.29,104.7
5350576.31,135.9
5350576.32,117.5
5350576.33,125.0
5350576.34,105.9
5350576.40,81.8
5350576.41,98.2
5350576.42,107.8
5350576.43,101.5
5350576.44,99.8
5350576.45,84.0
5350576.46,83.5
5350576.47,92.1
5350576.49,95.9
5350576.50,97.4
5350576.52,104.1
5350576.53,103.2
5350576.54,92.1
5350576.55,81.5
